section,entity,legacy_state,v10_6_step1_action,evidence
schema_access,postgres_runtime_schema,"Aucun DATABASE_URL configuré dans l'environnement de travail; audit live PostgreSQL impossible depuis ce clone","Audit basé sur le schéma réellement consommé par le code; la migration reste non destructive et compatible legacy","env.example:12; src/config/db.js:3-13"
table,users,"Table centrale avec id,email,password_hash,sponsor_id,campaign_id,invitation_code_series_1/2/3,is_root,is_leader,is_prelaunch_leader,link_active,email_confirmed et champs Victory","Conservée telle quelle; ajout d'un socle V10.6 séparé pour root explicite, sponsoring global et phase persistante","src/modules/auth/auth.repository.js:43-283; src/modules/users/users.repository.js:37-195; src/modules/victory/victory.repository.js:3-264"
table,user_opportunities,"Table utilisée pour referral_link,target_address,payment_hash,sponsor_user_id,status,joined_at,updated_at avec unicité fonctionnelle user_id+opportunity_id","Conservée telle quelle; la distinction sponsor global / sponsor opportunité est documentée sans suppression legacy","src/core/followme.engine.js:141-182; src/core/rollup.service.js:210-233"
table,opportunities,"Table utilisée avec name,slug,status,is_available,priority,is_entry,generates_link,requires_provision,provision_amount,provision_message,registration_url,depends_on","Conservée telle quelle à l'étape 1; aucune suppression de colonne legacy","src/modules/opportunities/opportunities.repository.js:12-235; src/modules/opportunities/opportunities.registry.js:103-124"
table,campaigns,"Toujours utilisée pour campagne active et administration","Conservée pour compatibilité legacy","src/modules/auth/auth.repository.js:35-40; src/modules/admin/admin.repository.js:77-212"
table,payments,"Table utilisée pour user_id,campaign_id,tx_hash,target_address,amount,network","Conservée sans refonte métier","src/modules/payments/payments.repository.js:46-209; src/modules/victory-world/victory-world.repository.js:137-168"
table,rollup_logs,"Journal de roll-up user_id,opportunity_id,original_sponsor_id,rollup_parent_id,reason,created_at","Conservée; aucune refonte Follow Me/Roll-up à l'étape 1","src/core/rollup.service.js:241-334"
gap,global_sponsor_model,"Le sponsor global repose aujourd'hui sur users.sponsor_id, tandis que le sponsor opportunité repose sur user_opportunities.sponsor_user_id","Ajout de v106_global_sponsorships pour modéliser explicitement le parrain global sans casser le legacy","src/modules/users/users.repository.js:114-159; src/core/followme.engine.js:164-165; src/core/rollup.service.js:111-116"
gap,root_resolution,"Le code legacy résout la racine via is_root et accepte encore le code ABCD1000 dans auth.service.js","Ajout de v106_runtime_state.root_user_id et d'une résolution explicite V10.6 avec fallback legacy contrôlé","src/modules/auth/auth.service.js:7-8; src/modules/auth/auth.repository.js:43-55"
gap,phase_state,"La phase 49→50 n'a pas de persistance dédiée; le basculement est calculé côté service","Ajout de v106_runtime_state.current_phase + v106_phase_transition_events + vue de comptage dérivé","src/modules/auth/auth.repository.js:172-283; src/modules/auth/auth.service.js:403-420"
